dt,sigma_x,sigma_y,sigma_z,z
9.999999999999999e-05,4.8446989721032265,99.91594783644355,0.018481037063206276,50
0.0005,17.853789166693986,25.010281485378556,0.0017935335267570884,50
0.001,10.749253758383388,20.43413695992829,0.0016497501385844755,50
0.01,1896.3006970570354,632.8759893359234,0.04643540004446471,50
9.999999999999999e-05,387.5457257091375,344.5613659207173,0.024857375180325447,100
0.0005,454.6883926175099,384.6158930742295,0.02513217774474268,100
0.001,54.87245447721471,307.22802903199664,0.010304448698925084,100
0.01,1274.4126461921514,2462.8042283140917,1.0060852285532953,100
9.999999999999999e-05,29029.740885579922,10994.52210666604,0.7814384003127278,300
0.0005,27902.092072189957,25220.144590852055,0.8046514893324757,300
0.001,19239.975717599405,11814.914738993357,0.3183811950689171,300
0.01,22605.811143824725,35236.82581895318,1.2989457088864016,300
9.999999999999999e-05,111975.37990662921,145218.56224458144,3.1895405714737133,500
0.0005,30942.19587419465,156389.74032684974,2.023296314628138,500
0.001,45639.91282775384,177143.62345966324,2.6856885734861042,500
0.01,115907.1456257425,30059.797308614394,8.236975089183598,500
