dt,sigma_x,sigma_y,sigma_z,z
9.999999999999999e-05,5.569233360195795,15.15895560185698,9999.988822076637,1
0.0005,26.494613184297638,3.981930110670861,9999.988232556201,1
0.001,7.235114919273507,0.9144087133744453,9999.992029855433,1
0.005,0.9879632343004876,5.266495143135693,9999.983713909,1
0.01,9.02741133567319,6.193154151271094,9997.38790678701,1
0.09999999999999999,2.416788981051081,1.8270037415013574,10026.22173483359,1
0.5,,,,1
1.0,,,8721.50550442699,1
9.999999999999999e-05,2366.2528079530944,2362.8188525881974,9984.809379031261,26
0.0005,2944.229438705988,2890.682281870484,9989.59675490434,26
0.001,,,9986.30180338217,26
0.005,977.3188803919612,1007.611170898624,9981.54689811312,26
0.01,3188.6759089644065,3420.280141441485,9998.785004775571,26
0.09999999999999999,153.35470863266815,889.4048560667862,9999.681890325925,26
0.5,47.609262174674,7.757323210393018,9999.99888083415,26
1.0,37.196701573399615,62.47098640850702,9999.902782012943,26
9.999999999999999e-05,3054.2298404116586,3056.339308404008,9999.625648145255,51
0.0005,3805.580222939967,3811.575626824086,9999.082736493443,51
0.001,4271.578743961602,4317.277115064735,9998.985141097364,51
0.005,2285.898231011806,2312.893113789522,9999.66070726186,51
0.01,3460.843452879915,3677.6294466790414,9999.640396376795,51
0.09999999999999999,352.8734008995475,52.133322746671084,9999.991484154914,51
0.5,88.83468261425246,25.990887793269348,9999.993907903072,51
1.0,161.60422497404363,128.2925489715629,9999.989766087308,51
9.999999999999999e-05,4153.661128854989,4152.764008855473,9999.977440860348,76
0.0005,4487.938262424135,4492.311292032955,9999.93120721437,76
0.001,4882.350009540656,4886.269694453269,9999.908276142434,76
0.005,5276.21749703123,5207.344245769451,9999.878782875054,76
0.01,5390.520604901348,5365.051353420722,9999.869606081536,76
0.09999999999999999,82.29565570790622,705.0385588449406,9999.998334357444,76
0.5,101.06679994332492,154.87823088806456,9999.999217394334,76
1.0,221.82456628486787,72.90007266917522,9999.998757748324,76
